step,total_steps,loss,ppl
1,12384,9.1199,9136
2,12384,8.7980,6621
3,12384,8.8759,7157
4,12384,8.7838,6528
5,12384,8.8368,6883
6,12384,8.8386,6895
7,12384,8.8146,6732
8,12384,8.7888,6560
9,12384,8.7411,6255
10,12384,8.7823,6518
50,12384,8.2602,3867
100,12384,7.5230,1850
150,12384,6.8251,921
200,12384,6.4574,637
250,12384,6.0667,431
300,12384,5.9238,374
350,12384,5.4931,243
400,12384,5.0677,159
450,12384,4.9079,135
500,12384,4.8489,128
550,12384,4.1646,64
600,12384,4.3319,76
650,12384,4.1125,61
700,12384,3.6793,40
750,12384,3.4599,32
800,12384,3.6307,38
850,12384,3.3476,28
900,12384,2.9271,19
950,12384,3.4476,31
1000,12384,3.3612,29
1050,12384,3.0393,21
1100,12384,2.8141,17
1150,12384,2.9412,19
1200,12384,2.7146,15
1250,12384,2.8857,18
1300,12384,2.8898,18
1350,12384,3.0256,21
1400,12384,2.6881,15
1450,12384,2.5912,13
1500,12384,2.8730,18
1550,12384,2.4302,11
1600,12384,2.3433,10
1650,12384,2.7963,16
1700,12384,2.3974,11
1750,12384,2.1742,9
1800,12384,2.5131,12
1850,12384,2.2819,10
1900,12384,2.3684,11
1950,12384,2.3850,11
2000,12384,2.3441,10
2050,12384,2.3314,10
2100,12384,2.5421,13
2150,12384,2.1676,9
2200,12384,2.2351,9
2250,12384,2.3372,10
2300,12384,2.7914,16
2350,12384,2.2148,9
2400,12384,2.3722,11
2450,12384,2.0510,8
2500,12384,2.4617,12
2550,12384,2.1452,9
2600,12384,2.5775,13
2650,12384,2.0938,8
2700,12384,2.1576,9
2750,12384,2.1751,9
2800,12384,2.2561,10
2850,12384,2.0077,7
2900,12384,2.4430,12
2950,12384,2.1444,9
3000,12384,2.0309,8
3050,12384,2.2461,9
3100,12384,1.9071,7
3150,12384,1.7510,6
3200,12384,2.1577,9
3250,12384,1.8360,6
3300,12384,1.9467,7
3350,12384,1.8833,7
3400,12384,1.9907,7
3450,12384,1.9694,7
3500,12384,1.9307,7
3550,12384,2.1944,9
3600,12384,2.0685,8
3650,12384,1.8815,7
3700,12384,1.9764,7
3750,12384,1.6627,5
3800,12384,2.0887,8
3850,12384,2.0330,8
3900,12384,1.9879,7
3950,12384,1.8392,6
4000,12384,1.9379,7
4050,12384,2.0284,8
4100,12384,1.9520,7
4150,12384,1.8023,6
4200,12384,1.9780,7
4250,12384,2.0104,7
4300,12384,1.8451,6
4350,12384,2.3757,11
4400,12384,1.8467,6
4450,12384,2.1062,8
4500,12384,1.8393,6
4550,12384,1.8674,6
4600,12384,1.6332,5
4650,12384,1.5577,5
4700,12384,1.6116,5
4750,12384,1.6199,5
4800,12384,1.5237,5
4850,12384,1.5082,5
4900,12384,1.7610,6
4950,12384,1.6934,5
5000,12384,1.7814,6
5050,12384,1.6101,5
5100,12384,1.6402,5
5150,12384,1.5921,5
5200,12384,1.6356,5
5250,12384,1.7938,6
5300,12384,1.8508,6
5350,12384,1.8029,6
5400,12384,1.6901,5
5450,12384,1.8170,6
5500,12384,1.7092,6
5550,12384,1.7133,6
5600,12384,1.7771,6
5650,12384,1.8152,6
5700,12384,1.7823,6
5750,12384,1.8310,6
5800,12384,1.6449,5
5850,12384,1.6636,5
5900,12384,1.9239,7
5950,12384,1.7650,6
6000,12384,1.6163,5
6050,12384,1.8515,6
6100,12384,1.6365,5
6150,12384,1.6717,5
6200,12384,1.4412,4
6250,12384,1.5986,5
6300,12384,1.3446,4
6350,12384,1.6220,5
6400,12384,1.6094,5
6450,12384,1.4570,4
6500,12384,1.4017,4
6550,12384,1.6845,5
6600,12384,1.5036,4
6650,12384,1.5747,5
6700,12384,1.5201,5
6750,12384,1.3988,4
6800,12384,1.6175,5
6850,12384,1.4065,4
6900,12384,1.7130,6
6950,12384,1.4452,4
7000,12384,1.5531,5
7050,12384,1.5433,5
7100,12384,1.5784,5
7150,12384,1.7354,6
7200,12384,1.6287,5
7250,12384,1.5919,5
7300,12384,1.7346,6
7350,12384,1.5422,5
7400,12384,1.6628,5
7450,12384,1.8157,6
7500,12384,1.7262,6
7550,12384,1.6048,5
7600,12384,1.6459,5
7650,12384,1.5724,5
7700,12384,1.6761,5
7750,12384,1.1624,3
7800,12384,1.3955,4
7850,12384,1.2842,4
7900,12384,1.2748,4
7950,12384,1.2396,3
8000,12384,1.2578,4
8050,12384,1.3817,4
8100,12384,1.4929,4
8150,12384,1.3236,4
8200,12384,1.5266,5
8250,12384,1.3013,4
8300,12384,1.4203,4
8350,12384,1.4328,4
8400,12384,1.2753,4
8450,12384,1.2731,4
8500,12384,1.4487,4
8550,12384,1.4321,4
8600,12384,1.3988,4
8650,12384,1.3821,4
8700,12384,1.3843,4
8750,12384,1.4358,4
8800,12384,1.3102,4
8850,12384,1.4856,4
8900,12384,1.4121,4
8950,12384,1.3860,4
9000,12384,1.5428,5
9050,12384,1.4652,4
9100,12384,1.3824,4
9150,12384,1.5958,5
9200,12384,1.2981,4
9250,12384,1.5706,5
9300,12384,1.0364,3
9350,12384,1.1221,3
9400,12384,1.1740,3
9450,12384,1.0113,3
9500,12384,1.2354,3
9550,12384,1.2210,3
9600,12384,1.2249,3
9650,12384,1.0090,3
9700,12384,1.2611,4
9750,12384,1.2066,3
9800,12384,1.1682,3
9850,12384,1.2458,3
9900,12384,1.1336,3
9950,12384,1.3286,4
10000,12384,1.2401,3
10050,12384,1.2165,3
10100,12384,1.4726,4
10150,12384,1.3097,4
10200,12384,1.4226,4
10250,12384,1.2666,4
10300,12384,1.2466,3
10350,12384,1.2577,4
10400,12384,1.2303,3
10450,12384,1.3235,4
10500,12384,1.2684,4
10550,12384,1.3149,4
10600,12384,1.3666,4
10650,12384,1.5056,5
10700,12384,1.4822,4
10750,12384,1.4100,4
10800,12384,1.3390,4
10850,12384,0.8760,2
10900,12384,0.8433,2
10950,12384,0.8364,2
11000,12384,0.8533,2
11050,12384,0.7845,2
11100,12384,0.8455,2
11150,12384,0.9042,2
11200,12384,0.8264,2
11250,12384,0.8264,2
11300,12384,0.9546,3
11350,12384,1.0240,3
11400,12384,0.8707,2
11450,12384,0.8676,2
11500,12384,0.9219,3
11550,12384,0.8751,2
11600,12384,0.8821,2
11650,12384,0.6980,2
11700,12384,0.8270,2
11750,12384,0.9568,3
11800,12384,0.8399,2
11850,12384,0.7947,2
11900,12384,0.7729,2
11950,12384,0.7331,2
12000,12384,0.7792,2
12050,12384,0.7815,2
12100,12384,0.7434,2
12150,12384,0.7093,2
12200,12384,0.9100,2
12250,12384,0.7563,2
12300,12384,0.7678,2
12350,12384,0.8627,2
